Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2011,185,3065223,6.04,5.946474971
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2012,175,3076310,5.69,5.616034836
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2013,221,3091930,7.15,6.86263847
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2014,194,3108030,6.24,5.870140671
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2015,193,3121997,6.18,5.841620923
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2016,228,3134693,7.27,7.216930746
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,,1373,21645040,6.34,.
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2010,210,2853116,7.36,7.224123841
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2011,233,2869503,8.12,7.944654596
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2012,297,2885262,10.29,10.19226882
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2013,241,2892821,8.33,8.040892594
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2014,238,2899360,8.21,8.101488524
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2015,224,2906721,7.71,7.601833445
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,2016,257,2907289,8.84,8.775027518
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Firearm,,1700,20214072,8.41,.
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2010,404,4339357,9.31,8.944723165
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2011,453,4369354,10.37,10.07872138
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2012,469,4384799,10.7,10.24081842
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2013,453,4400477,10.29,9.675372512
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2014,470,4413057,10.65,10.11987215
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2015,499,4424611,11.28,10.70352818
